,Human_HBB,Chimp_HBB,Gorilla_HBB,Mouse_Hbb-b1,Rat_Hbb,Cow_HBB,Pig_HBB,Horse_HBB,Dog_HBB,Cat_HBB
Human_HBB,0.0,0.006825965070399871,-0.0,0.03460552917747561,0.041672696400568074,0.08515780834030683,0.041672696400568074,0.041672696400568074,0.020619287202735703,0.03460552917747561
Chimp_HBB,0.006825965070399871,0.0,0.006825965070399871,0.041672696400568074,0.048790164169432056,0.07777770104268426,0.048790164169432056,0.048790164169432056,0.027587956518829053,0.041672696400568074
Gorilla_HBB,-0.0,0.006825965070399871,0.0,0.03460552917747561,0.041672696400568074,0.08515780834030683,0.041672696400568074,0.041672696400568074,0.020619287202735703,0.03460552917747561
Mouse_Hbb-b1,0.03460552917747561,0.041672696400568074,0.03460552917747561,0.0,0.05595865364804449,0.07777770104268426,0.03460552917747561,0.03460552917747561,0.013698844358161915,0.027587956518829053
Rat_Hbb,0.041672696400568074,0.048790164169432056,0.041672696400568074,0.05595865364804449,0.0,0.10763066419236544,0.06317890162153156,0.06317890162153156,0.041672696400568074,0.05595865364804449
Cow_HBB,0.08515780834030683,0.07777770104268426,0.08515780834030683,0.07777770104268426,0.10763066419236544,0.0,0.07045166095061135,0.07045166095061135,0.06317890162153156,0.06317890162153156
Pig_HBB,0.041672696400568074,0.048790164169432056,0.041672696400568074,0.03460552917747561,0.06317890162153156,0.07045166095061135,0.0,0.027587956518829053,0.020619287202735703,0.03460552917747561
Horse_HBB,0.041672696400568074,0.048790164169432056,0.041672696400568074,0.03460552917747561,0.06317890162153156,0.07045166095061135,0.027587956518829053,0.0,0.020619287202735703,0.020619287202735703
Dog_HBB,0.020619287202735703,0.027587956518829053,0.020619287202735703,0.013698844358161915,0.041672696400568074,0.06317890162153156,0.020619287202735703,0.020619287202735703,0.0,0.013698844358161915
Cat_HBB,0.03460552917747561,0.041672696400568074,0.03460552917747561,0.027587956518829053,0.05595865364804449,0.06317890162153156,0.03460552917747561,0.020619287202735703,0.013698844358161915,0.0
